site,lon180_requested,lat_requested,lon360_grid,lon180_grid,lat_grid,depth_idx,depth_mid_m,depth_top_m,depth_bot_m,dz_m,scenario,temp_C,pO2_kPa,zmeso,zmicro,I_day_rel,I_night_rel
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,1,2.5,0,6.25,6.25,hist,25.025333404541,21.43017578125,0.000302612810628489,0.000450083811301738,0.950951099395752,0.000950951070990413
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,2,10,6.25,15,8.75,hist,24.948802947998,21.4321517944336,0.000299552164506167,0.000450351246399805,0.817772924900055,0.000817772932350636
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,3,20,15,26.25,11.25,hist,24.7360172271729,21.4479503631592,0.000289667397737503,0.000451842992333695,0.668752551078796,0.000668752531055361
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,4,32.5,26.25,41.875,15.625,hist,24.2224292755127,21.5379543304443,0.000279123953077942,0.000462666590465233,0.520063519477844,0.000520063505973667
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,5,51.25,41.875,63.125,21.25,hist,23.3729801177979,21.5588188171387,0.000267717114184052,0.000476256449474022,0.356650412082672,0.000356650416506454
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,6,75,63.125,87.5,24.375,hist,22.484224319458,21.2115592956543,0.000187424710020423,0.000376537791453302,0.22117979824543,0.00022117979824543
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,7,100,87.5,112.5,25,hist,21.653980255127,20.4981803894043,5.41592016816139e-05,0.000107688421849161,0.133760318160057,0.000133760317112319
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,8,125,112.5,140.625,28.125,hist,20.8769969940186,19.9096355438232,1.4845037185296e-05,1.52440152305644e-05,0.0808926597237587,8.08926561148837e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,9,156.25,140.625,178.125,37.5,hist,19.8490352630615,19.4314498901367,5.76825141251902e-06,3.14432804771059e-06,0.0431406199932098,4.31406187999528e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,10,200,178.125,225,46.875,hist,18.1243381500244,18.8833236694336,2.81272832580726e-06,9.80658114713151e-07,0.0178918223828077,1.78918216988677e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,11,250,225,281.25,56.25,hist,15.5220785140991,18.138599395752,1.79965547886241e-06,5.69034057207318e-07,0.00654362188652158,6.54362202112679e-06
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,12,312.5,281.25,356.25,75,hist,12.2785692214966,17.0402908325195,1.19181413538172e-06,3.98073012775058e-07,0.00186111312359571,1.86111310540582e-06
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,13,400,356.25,450,93.75,hist,9.55342674255371,14.9967489242554,7.22938978015009e-07,2.52814089662934e-07,0.000320117309456691,3.20117294450029e-07
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,14,500,450,550,100,hist,7.22057485580444,11.2009735107422,4.13031386869989e-07,1.26417546653101e-07,4.28189887315966e-05,4.28189892431874e-08
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,15,600,550,650,100,hist,5.68043279647827,7.4055814743042,2.23523173303875e-07,5.14027966858066e-08,5.72748149352265e-06,5.72748160010406e-09
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,16,700,650,750,100,hist,4.93180990219116,4.94624757766724,1.24110911770003e-07,2.24007941085347e-08,7.66109735650389e-07,7.66109731209497e-10
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,17,800,750,850,100,hist,4.48876285552979,3.62033128738403,7.48607078548957e-08,1.19771197404361e-08,1.02475084418074e-07,1.02475083973985e-10
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,18,900,850,950,100,hist,4.14879465103149,3.06577920913696,4.95893139884629e-08,7.43085104559782e-09,1.37070994554733e-08,1.37070996913957e-11
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,19,1000,950,1050,100,hist,3.83985185623169,2.9780216217041,3.74015485249402e-08,5.39985789416164e-09,1.83346593463085e-09,1.83346588779332e-12
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,20,1100,1050,1150,100,hist,3.55389308929443,3.04455423355103,3.07177536740255e-08,4.33732605387149e-09,2.45244990981774e-10,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,21,1200,1150,1250,100,hist,3.28330969810486,3.27391719818115,2.6562128496721e-08,3.69669184152599e-09,3.28040476726965e-11,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,22,1300,1250,1350,100,hist,3.04666066169739,3.58341383934021,2.39194104523222e-08,3.29654237241073e-09,4.38787938275564e-12,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,23,1400,1350,1468.75,118.75,hist,2.8771858215332,3.86508536338806,2.2435344249061e-08,3.07701930601922e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,24,1537.5,1468.75,1643.75,175,hist,2.66675162315369,4.28772783279419,2.08886294927879e-08,2.85563128699096e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,25,1750,1643.75,1906.25,262.5,hist,2.3557710647583,4.97545051574707,1.97069667251526e-08,2.67983613078115e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,26,2062.5,1906.25,2281.25,375,hist,1.98612403869629,5.55628299713135,1.91289615258938e-08,2.57096521849576e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,27,2500,2281.25,2750,468.75,hist,1.70991897583008,5.98941326141357,1.85225239590636e-08,2.44431119789112e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,28,3000,2750,3250,500,hist,1.45884132385254,6.84857368469238,1.91222699896798e-08,2.47318632240479e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,29,3500,3250,3750,500,hist,1.31409990787506,7.48940706253052,2.01183407710914e-08,2.55947685268154e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,30,4000,3750,4250,500,hist,1.2626645565033,7.75197696685791,2.0881637752268e-08,2.64123278803652e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,31,4500,4250,4750,500,hist,1.2512663602829,7.81762552261353,2.10871267114499e-08,2.66177146990287e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,32,5000,4750,5250,500,hist,1.24884438514709,7.83221673965454,2.10107771181356e-08,2.65101229857123e-09,9.99999996004197e-13,9.99999996004197e-13
